"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Manufacturer","Manufacturer Part","Supplier","Supplier Part"
"1","5","C1, C2, C3, C4, C8","100nF","part-library:C","part-library:0805","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2016/08/18/S_CL21B104KOANNNC.pdf","CAP CER 0.1UF 16V X7R 0805","Samsung Electro-Mechanics","CL21B104KOANNNC","DigiKey","1276-2448-1-ND"
"2","2","C5, C7","12pF","part-library:C","part-library:0805","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2016/08/18/S_CL21C120JBANNNC.pdf","CAP CER 12PF 50V C0G/NP0 0805","Samsung Electro-Mechanics","CL21C120JBANNNC","DigiKey","1276-1120-1-ND"
"3","2","C6, C9","1uF","part-library:C","part-library:0805","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2016/08/18/S_CL21B105KOFNNNG.pdf","CAP CER 1UF 16V X7R 0805","Samsung Electro-Mechanics","CL21B105KOFNNNG","DigiKey","1276-6471-1-ND"
"4","1","C10","10uF","part-library:CP","part-library:1210","http://datasheets.avx.com/TAJ_AUTO.pdf","CAP TANT 10UF 10% 10V 1210","AVX Corporation","TAJB106K010TNJ","DigiKey","478-11224-1-ND"
"5","8","D1, D2, D3, D4, D5, D6, D7, D8","LED_ARGB","part-library:LED_ARGB","part-library:PLCC4","http://www.cree.com/led-components/media/documents/CLV1L-FKB-1238.pdf","LED RGB 4PLCC SMD","Cree Inc.","CLV1L-FKB-CJMNQEGBB7673673","DigiKey","CLV1L-FKB-CJMNQEGBB7673673CT-ND"
"6","1","D9","1N4148WS","part-library:1N4148WS","part-library:SOD-323FL","http://www.taiwansemi.com/products/datasheet/1N4148WS%20SERIES_K1709.pdf","DIODE GEN PURP 75V 150MA SOD323F","Taiwan Semiconductor Corporation","1N4148WS RRG","DigiKey","1N4148WSRRGCT-ND"
"7","1","F1","Fuse-500mA","part-library:Fuse-500mA","part-library:1812_Concave","https://www.belfuse.com/resources/CircuitProtection/datasheets/0ZCG%20Nov2016.pdf","PTC RESET FUSE 16V 500MA 1812","Bel Fuse Inc.","0ZCG0050FF2C","DigiKey","507-1761-1-ND"
"8","2","FB1, FB2","Ferrite_Bead_30Ohm","part-library:Ferrite_Bead_30Ohm","part-library:0805","http://www.bourns.com/docs/Product-Datasheets/mh.pdf","FERRITE BEAD 30 OHM 0805 1LN","Bourns Inc.","MH2029-300Y","DigiKey","MH2029-300YCT-ND"
"9","2","ICL1, ICL2","Varistor","part-library:Varistor","part-library:0603","http://www.bourns.com/docs/Product-Datasheets/MLC.pdf","VARISTOR 0603","Bourns Inc.","CG0603MLC-05E","DigiKey","CG0603MLC-05ECT-ND"
"10","1","J1","USB-Micro-B","part-library:USB-Micro-B","part-library:USB_Micro_B_Female","http://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/10118194.pdf","CONN USB MICRO B RECPT SMT R/A","Amphenol FCI","10118194-0001LF","DigiKey","609-4618-1-ND"
